case-ID | 主訴 | 疾患名 | 頻度
--------------------------------------------------------------------------------
case-001 | 胸痛 | 急性下壁心筋梗塞（STEMI）＋心原性ショック | 中
case-002 | 胸痛 | 急性大動脈解離（Stanford A型） | 低
case-003 | 呼吸困難 | 急性肺血栓塞栓症（大量型） | 低
case-004 | 発熱 | 敗血症性ショック（尿路感染症由来） | 高
case-005 | 腹痛 | 急性化膿性胆管炎（Grade II） | 中
case-006 | 腹痛 | 消化管穿孔（十二指腸潰瘍穿孔） | 中
case-007 | 意識障害 | 重症低血糖（スルホニル尿素薬による遷延性低血糖） | 高
case-008 | 頭痛 | くも膜下出血（前交通動脈瘤破裂） | 低
case-009 | めまい | 急性小脳梗塞（右小脳半球・後下小脳動脈領域） | 中
case-010 | 耳鼻科救急 | 急性喉頭蓋炎（気道緊急） | 低
case-011 | 胸痛 | ウイルス性急性心膜炎 | 中
case-012 | 動悸 | 発作性心房細動（甲状腺機能亢進症誘因） | 高
case-013 | 動悸 | WPW症候群＋発作性上室性頻拍（orthodromic AVRT） | 低
case-014 | 失神 | 完全房室ブロック（Adams-Stokes発作） | 低
case-015 | 呼吸困難 | 急性心不全（EF低下型）＋心原性ショック | 中
case-016 | 呼吸困難 | 気管支喘息重積発作（Life-threatening asthma） | 中
case-017 | 発熱 | 細菌性髄膜炎（肺炎球菌性） | 低
case-018 | 腹痛 | 急性膵炎（アルコール性、Balthazar D） | 中
case-019 | 腹痛 | 癒着性腸閉塞（小腸閉塞） | 中
case-020 | 腹痛 | 異所性妊娠破裂（卵管妊娠） | 低
case-021 | 発熱 | 急性腎盂腎炎 | 高
case-022 | 腹痛 | 左尿管結石（左尿管下部） | 高
case-023 | 意識障害 | 糖尿病性ケトアシドーシス（DKA） | 中
case-024 | 意識障害 | 高血糖高浸透圧症候群（HHS） | 低
case-025 | 意識障害 | アルコール性低血糖＋ウェルニッケ脳症 | 中
case-026 | 意識障害 | 高血圧性脳出血（右被殻出血） | 中
case-027 | めまい | 良性発作性頭位めまい症（BPPV、後半規管型） | 高
case-028 | 発熱 | 感染性心内膜炎（IE） | 低
case-029 | 耳鼻科救急 | 右扁桃周囲膿瘍 | 高
case-030 | 耳鼻科救急 | Ludwig狭心症（深頸部感染症） | 低
